2026-02-01 00:10:32 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:32 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:32 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:32 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:32 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:32 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:32 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:32 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:32 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:32 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:32 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:32 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:32 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:32 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:32 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:32 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:32 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:42 INFO  c.j.pos.scheduler.GoldPriceScheduler - Connecting to Gold Price Source: https://egypt.gold-price-today.com/
2026-02-01 00:10:43 INFO  c.j.pos.scheduler.GoldPriceScheduler - ✅ Gold Price Updated: 24k = 7785 EGP
2026-02-01 00:10:49 INFO  c.j.p.s.JwtAuthenticationFilter - JWT Token found for user: super_admin
2026-02-01 00:10:49 INFO  c.j.p.s.JwtAuthenticationFilter - JWT authentication successful for user: super_admin
2026-02-01 00:11:49 INFO  c.j.p.s.JwtAuthenticationFilter - JWT Token found for user: super_admin
2026-02-01 00:11:49 INFO  c.j.p.s.JwtAuthenticationFilter - JWT authentication successful for user: super_admin
2026-02-01 00:12:49 INFO  c.j.p.s.JwtAuthenticationFilter - JWT Token found for user: super_admin
2026-02-01 00:12:49 INFO  c.j.p.s.JwtAuthenticationFilter - JWT authentication successful for user: super_admin
2026-02-01 00:13:49 INFO  c.j.p.s.JwtAuthenticationFilter - JWT Token found for user: super_admin
2026-02-01 00:13:49 INFO  c.j.p.s.JwtAuthenticationFilter - JWT authentication successful for user: super_admin
2026-02-01 00:14:49 INFO  c.j.p.s.JwtAuthenticationFilter - JWT Token found for user: super_admin
2026-02-01 00:14:49 INFO  c.j.p.s.JwtAuthenticationFilter - JWT authentication successful for user: super_admin
2026-02-01 00:15:40 INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-02-01 00:15:40 INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2026-02-01 00:15:40 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-02-01 00:15:40 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-02-01 00:15:40 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-02-01 00:15:55 INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2026-02-01 00:15:55 INFO  c.jewelry.pos.JewelryShopApplication - Starting JewelryShopApplication using Java 21.0.6 with PID 18916 (C:\Silicon\Examples\jewelry_shop\jewelry\target\classes started by 148533 in C:\Silicon\Examples\jewelry_shop\jewelry)
2026-02-01 00:15:55 INFO  c.jewelry.pos.JewelryShopApplication - No active profile set, falling back to 1 default profile: "default"
2026-02-01 00:16:00 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-02-01 00:16:00 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 155 ms. Found 15 JPA repository interfaces.
2026-02-01 00:16:02 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
